Column_Data_00
    step        time[-]          F_x           F_y           F_z
     183   5.718750e-01  -1.9152e-03    0.0000e+00    3.7795e-05
     184   5.750000e-01  -1.9277e-03    0.0000e+00    3.8745e-05
     185   5.781250e-01  -1.9401e-03    0.0000e+00    3.9711e-05
     186   5.812500e-01  -1.9524e-03    0.0000e+00    4.0694e-05
     187   5.843750e-01  -1.9647e-03    0.0000e+00    4.1693e-05
     188   5.875000e-01  -1.9769e-03    0.0000e+00    4.2708e-05
     189   5.906250e-01  -1.9890e-03    0.0000e+00    4.3740e-05
     190   5.937500e-01  -2.0010e-03    0.0000e+00    4.4788e-05
     191   5.968750e-01  -2.0129e-03    0.0000e+00    4.5853e-05
     192   6.000000e-01  -2.0248e-03    0.0000e+00    4.6935e-05
     193   6.031250e-01  -2.0365e-03    0.0000e+00    4.8034e-05
     194   6.062500e-01  -2.0482e-03    0.0000e+00    4.9149e-05
     195   6.093750e-01  -2.0598e-03    0.0000e+00    5.0282e-05
     196   6.125000e-01  -2.0712e-03    0.0000e+00    5.1431e-05
     197   6.156250e-01  -2.0826e-03    0.0000e+00    5.2598e-05
     198   6.187500e-01  -2.0939e-03    0.0000e+00    5.3781e-05
     199   6.218750e-01  -2.1051e-03    0.0000e+00    5.4982e-05
     200   6.250000e-01  -2.1162e-03    0.0000e+00    5.6200e-05
     201   6.281250e-01  -2.1272e-03    0.0000e+00    5.7435e-05
     202   6.312500e-01  -2.1381e-03    0.0000e+00    5.8688e-05
     203   6.343750e-01  -2.1489e-03    0.0000e+00    5.9958e-05
     204   6.375000e-01  -2.1596e-03    0.0000e+00    6.1246e-05
     205   6.406250e-01  -2.1702e-03    0.0000e+00    6.2551e-05
     206   6.437500e-01  -2.1807e-03    0.0000e+00    6.3873e-05
     207   6.468750e-01  -2.1911e-03    0.0000e+00    6.5213e-05
     208   6.500000e-01  -2.2014e-03    0.0000e+00    6.6571e-05
     209   6.531250e-01  -2.2115e-03    0.0000e+00    6.7946e-05
     210   6.562500e-01  -2.2216e-03    0.0000e+00    6.9338e-05
     211   6.593750e-01  -2.2315e-03    0.0000e+00    7.0748e-05
     212   6.625000e-01  -2.2414e-03    0.0000e+00    7.2176e-05
     213   6.656250e-01  -2.2511e-03    0.0000e+00    7.3622e-05
     214   6.687500e-01  -2.2607e-03    0.0000e+00    7.5085e-05
     215   6.718750e-01  -2.2701e-03    0.0000e+00    7.6565e-05
     216   6.750000e-01  -2.2795e-03    0.0000e+00    7.8063e-05
     217   6.781250e-01  -2.2887e-03    0.0000e+00    7.9579e-05
     218   6.812500e-01  -2.2979e-03    0.0000e+00    8.1112e-05
     219   6.843750e-01  -2.3069e-03    0.0000e+00    8.2663e-05
     220   6.875000e-01  -2.3158e-03    0.0000e+00    8.4232e-05
     221   6.906250e-01  -2.3245e-03    0.0000e+00    8.5817e-05
     222   6.937500e-01  -2.3331e-03    0.0000e+00    8.7421e-05
     223   6.968750e-01  -2.3416e-03    0.0000e+00    8.9041e-05
     224   7.000000e-01  -2.3500e-03    0.0000e+00    9.0679e-05
     225   7.031250e-01  -2.3583e-03    0.0000e+00    9.2335e-05
     226   7.062500e-01  -2.3664e-03    0.0000e+00    9.4007e-05
     227   7.093750e-01  -2.3744e-03    0.0000e+00    9.5697e-05
     228   7.125000e-01  -2.3822e-03    0.0000e+00    9.7404e-05
     229   7.156250e-01  -2.3900e-03    0.0000e+00    9.9128e-05
     230   7.187500e-01  -2.3975e-03    0.0000e+00    1.0087e-04
     231   7.218750e-01  -2.4050e-03    0.0000e+00    1.0263e-04
     232   7.250000e-01  -2.4123e-03    0.0000e+00    1.0440e-04
     233   7.281250e-01  -2.4195e-03    0.0000e+00    1.0619e-04
     234   7.312500e-01  -2.4266e-03    0.0000e+00    1.0800e-04
     235   7.343750e-01  -2.4335e-03    0.0000e+00    1.0983e-04
     236   7.375000e-01  -2.4402e-03    0.0000e+00    1.1167e-04
     237   7.406250e-01  -2.4469e-03    0.0000e+00    1.1353e-04
     238   7.437500e-01  -2.4533e-03    0.0000e+00    1.1540e-04
     239   7.468750e-01  -2.4597e-03    0.0000e+00    1.1729e-04
     240   7.500000e-01  -2.4659e-03    0.0000e+00    1.1920e-04
     241   7.531250e-01  -2.4719e-03    0.0000e+00    1.2112e-04
     242   7.562500e-01  -2.4779e-03    0.0000e+00    1.2306e-04
     243   7.593750e-01  -2.4836e-03    0.0000e+00    1.2502e-04
     244   7.625000e-01  -2.4892e-03    0.0000e+00    1.2699e-04
     245   7.656250e-01  -2.4947e-03    0.0000e+00    1.2897e-04
     246   7.687500e-01  -2.5000e-03    0.0000e+00    1.3097e-04
     247   7.718750e-01  -2.5052e-03    0.0000e+00    1.3299e-04
     248   7.750000e-01  -2.5102e-03    0.0000e+00    1.3502e-04
     249   7.781250e-01  -2.5151e-03    0.0000e+00    1.3707e-04
     250   7.812500e-01  -2.5198e-03    0.0000e+00    1.3913e-04
     251   7.843750e-01  -2.5244e-03    0.0000e+00    1.4120e-04
     252   7.875000e-01  -2.5288e-03    0.0000e+00    1.4329e-04
     253   7.906250e-01  -2.5331e-03    0.0000e+00    1.4540e-04
     254   7.937500e-01  -2.5372e-03    0.0000e+00    1.4752e-04
     255   7.968750e-01  -2.5412e-03    0.0000e+00    1.4965e-04
     256   8.000000e-01  -2.5450e-03    0.0000e+00    1.5179e-04
     257   8.031250e-01  -2.5486e-03    0.0000e+00    1.5395e-04
     258   8.062500e-01  -2.5521e-03    0.0000e+00    1.5613e-04
     259   8.093750e-01  -2.5554e-03    0.0000e+00    1.5831e-04
     260   8.125000e-01  -2.5586e-03    0.0000e+00    1.6051e-04
     261   8.156250e-01  -2.5616e-03    0.0000e+00    1.6272e-04
     262   8.187500e-01  -2.5645e-03    0.0000e+00    1.6495e-04
     263   8.218750e-01  -2.5672e-03    0.0000e+00    1.6718e-04
     264   8.250000e-01  -2.5697e-03    0.0000e+00    1.6943e-04
     265   8.281250e-01  -2.5721e-03    0.0000e+00    1.7169e-04
     266   8.312500e-01  -2.5743e-03    0.0000e+00    1.7396e-04
     267   8.343750e-01  -2.5764e-03    0.0000e+00    1.7625e-04
     268   8.375000e-01  -2.5783e-03    0.0000e+00    1.7854e-04
     269   8.406250e-01  -2.5800e-03    0.0000e+00    1.8085e-04
     270   8.437500e-01  -2.5816e-03    0.0000e+00    1.8316e-04
     271   8.468750e-01  -2.5830e-03    0.0000e+00    1.8549e-04
     272   8.500000e-01  -2.5843e-03    0.0000e+00    1.8783e-04
     273   8.531250e-01  -2.5854e-03    0.0000e+00    1.9017e-04
     274   8.562500e-01  -2.5863e-03    0.0000e+00    1.9253e-04
     275   8.593750e-01  -2.5871e-03    0.0000e+00    1.9490e-04
